Altium Designer Pick and Place Locations
C:\Users\Ghanou\Desktop\projects\Raspberry Pi Pico remake\Design Files\V1I1\Raspberry Pi Pico remake\Project Outputs for Raspberry Pi Pico remake\Pick Place\Pick Place for RPi_PICO'(Base version).csv

========================================================================================================================
File Design Information:

Date:       26/09/22
Time:       10:00
Revision:   Not in VersionControl
Variant:    Base version
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"X1","7.7978mm","11.0236mm","TopLayer","225"
"U3","15.6972mm","36.0934mm","TopLayer","90"
"U2","6.2484mm","31.3436mm","TopLayer","270"
"U1","10.5000mm","20.0000mm","TopLayer","0"
"TP6","6.9850mm","41.5290mm","BottomLayer","180"
"TP5","6.9850mm","39.7510mm","BottomLayer","180"
"TP3","9.7536mm","46.5074mm","BottomLayer","180"
"TP2","12.1412mm","46.5328mm","BottomLayer","180"
"TP1","10.5000mm","49.5000mm","BottomLayer","180"
"S1","4.9612mm","39.0496mm","TopLayer","270"
"R20","8.1026mm","38.9382mm","TopLayer","180"
"R19","15.8496mm","25.9842mm","TopLayer","270"
"R18","12.4714mm","34.8996mm","TopLayer","270"
"R17","12.4714mm","36.6522mm","TopLayer","270"
"R16","8.1026mm","41.7576mm","TopLayer","180"
"R15","13.4874mm","36.6522mm","TopLayer","270"
"R14","14.3002mm","27.8130mm","TopLayer","360"
"R13","13.4874mm","34.8996mm","TopLayer","90"
"R12","8.1026mm","40.8178mm","TopLayer","360"
"R11","3.7084mm","49.4792mm","TopLayer","90"
"R10","4.8768mm","49.4792mm","TopLayer","270"
"R9","12.8778mm","33.5534mm","TopLayer","360"
"R8","12.0904mm","25.6377mm","TopLayer","90"
"R7","11.4046mm","25.6479mm","TopLayer","270"
"R6","9.1186mm","13.6398mm","TopLayer","315"
"R5","16.0274mm","28.0670mm","TopLayer","90"
"R4","8.1026mm","39.8780mm","TopLayer","180"
"R3","10.4902mm","12.2682mm","TopLayer","135"
"R2","16.9418mm","28.0670mm","TopLayer","270"
"R1","8.1026mm","37.9984mm","TopLayer","180"
"Q1","15.9512mm","22.6568mm","TopLayer","180"
"L1","15.0876mm","31.0134mm","TopLayer","360"
"J4","10.5000mm","45.9525mm","TopLayer","180"
"J3","20.2000mm","25.5000mm","TopLayer","180"
"J2","0.8000mm","25.5000mm","TopLayer","180"
"J1","10.5000mm","0.8000mm","TopLayer","270"
"D2","14.0716mm","40.7924mm","TopLayer","180"
"D1","3.9878mm","43.4848mm","TopLayer","270"
"C19","12.7254mm","38.9128mm","TopLayer","90"
"C18","17.1450mm","41.3004mm","TopLayer","270"
"C17","13.5382mm","38.9128mm","TopLayer","90"
"C16","14.4018mm","26.7970mm","TopLayer","180"
"C15","9.4112mm","25.1260mm","TopLayer","315"
"C14","11.3792mm","14.9860mm","TopLayer","90"
"C13","7.2644mm","25.5060mm","TopLayer","90"
"C12","8.1534mm","25.8318mm","TopLayer","90"
"C11","14.4018mm","25.7048mm","TopLayer","180"
"C10","14.4018mm","24.5872mm","TopLayer","180"
"C9","15.4432mm","18.9738mm","TopLayer","180"
"C8","14.8844mm","23.6982mm","TopLayer","180"
"C7","6.2230mm","23.7236mm","TopLayer","360"
"C6","9.8552mm","25.5778mm","TopLayer","315"
"C5","5.4610mm","18.9738mm","TopLayer","360"
"C4","10.7188mm","14.9860mm","TopLayer","90"
"C3","16.8148mm","26.5684mm","TopLayer","90"
"C2","9.4488mm","9.4234mm","TopLayer","225"
"C1","6.2230mm","12.7000mm","TopLayer","45"
